0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:49 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:57 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero2.png HTTP/1.1" 200 32001
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero3.png HTTP/1.1" 200 30153
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero4.png HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero5.png HTTP/1.1" 200 28451
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero6.png HTTP/1.1" 200 30741
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero8.png HTTP/1.1" 200 32931
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero7.png HTTP/1.1" 200 23164
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero9.png HTTP/1.1" 200 28732
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:37 +0900] "GET /day38_css_js/images/hero10.png HTTP/1.1" 200 27936
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:56 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:20:56 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:50 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:50 +0900] "GET /day38_css_js/images/logo_overwatch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:50 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:50 +0900] "GET /day38_css_js/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:53 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:22:53 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:23:49 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:23:49 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
